ﺷﻤﺎرﻩ درس	ﻧﺎم ﻻﺗﻴﻦ	ﻧﺎم درس	ﻧﻮع درس	ﻣﻘﻄﻊ	واﺣﺪ	همنیاز	پیشنیاز	زمان آخرین ارائه	استاد آخرین ارائه
22812	TOPICS IN CRYPTOLOGY	 مباحثی در رمزشناسی	نظری	کارشناسی ارشد	4				
22813	INTRO TO CRYPTOGRAPHY	مقدمه ای بر رمز نگاری	نظری	مشترک	4		 22822 و 22089 یا 22338		
22814	THEORETICAL FOUNDATIONS OF CRYPTOGRAPHY	مبانی نظری رمزنگاری	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	خزائی
22815	ADV PROGRAMMING	برنامه نویسی پیشرفته	نظری	کارشناسی	4		22014		
22816	ADV TOPICS IN PROG	مباحث پیشرفته در برنامه نویسی	نظری	کارشناسی	3		 22811 یا 40151		
22817	TOPICS IN COMPUTER SCI	 مباحثی در علوم کامپیوتر	نظری	کارشناسی ارشد	3				
22818	ADV MATH SOFTWARE 	نرمافزار ریاضی پیشرفته	نظری	کارشناسی ارشد	4				
22819	COMPUTER APPL BUSINESS	کاربرد کامپیوتر در سیستمهای تجاری	نظری	کارشناسی	3		22815		
22820	CRYP SEM	سمینار رمزنگاری	سمینار	کارشناسی ارشد	1				
22821	MACH STRUCT & LANG	ساختمان و زبان ماشین	نظری	کارشناسی	3		22815		
22822	DATA STRUCTURES	ساختمان داده ها	نظری	کارشناسی	4		 22825 و 22815	ترم پاییز 95-96	خزائی
22823	DATA STRUCTURES 	ساختمان داده ها	نظری	کارشناسی	3		22821		
22824	INFO STORE & RETRIEV	ذخیره و بازیابی اطلاعات	نظری	کارشناسی	3		22823		
22825	DISCRETE MATH 	ریاضیات گسسته	نظری	کارشناسی	3			ترم پاییز 95-96	گسسته
22826	DISCRETE MATH 	ریاضیات گسسته	نظری	کارشناسی	4	22015			
22827	THEORY OF MACH LANG 	نظریه زبان ماشین	نظری	کارشناسی	3		22823		
22829	SYSTEMS ANALYSIS	تحلیل سیستمها	نظری	کارشناسی	3		22819		
22830	TOPICS IN COMPUTER SCI	مباحثی در علوم کامپیوتر	نظری	کارشناسی ارشد	4			ترم پاییز 95-96	فروغمند
22832	DATABASE SYSTEMS	بانکهای اطلاعاتی	نظری	مشترک	4		22824		
22833	SELF‐CONT INFO SYS	سیستمهای اطلاعاتی خودکار	نظری	کارشناسی ارشد	3		22832		
22837	SOFTWARE RELIABILITY	قابلیت نرمافزار	نظری	کارشناسی ارشد	3		22864		
22838	TOPICS IN THEORY OF COMPUT	مباحثی در نظریه محاسبه	نظری	کارشناسی ارشد	4				
22839	COMPUTER GRAPHICS 	گرافیک کامپیوتری	نظری	کارشناسی ارشد	3				
22840	ADV TOPIC IN ALG	مباحث پیشرفته در الگوریتم ها	نظری	کارشناسی ارشد	4		22891	ترم پاییز 95-96	زارعی
22841	LOGIC DESIGN & LAB	طراحی منطقی و آز	نظری	کارشناسی	4		25031		
22842	ADV LOGIC DESIGN	طراحی منطقی پیشرفته	نظری	کارشناسی	3		22841		
22843	FINITE MACHINES 	ماشینهای متناهی	نظری	کارشناسی ارشد	3		22842		
22844	COMPUTER TECHNOLOGY 	تکنولوژی کامپیوتر	نظری	کارشناسی	3		22871		
22845	PARALLEL ALGOR	الگوریتمهای موازی	نظری	کارشناسی ارشد	4				
22848	DATABASE SYSTEMS	پایگاه داده ها	نظری	کارشناسی	3				
22851	COMPILER 1	کامپایلر 1	نظری	کارشناسی	3		22823		
22852	COMPILER 2	کامپایلر 2	نظری	مشترک	3		 22827 و 22853		
22853	PROG LANGUAGES 	زبانهای برنامه نویسی	نظری	مشترک	4		 22851 و 22819		
22856	ARTIFICIAL INTEL	 هوش مصنوعی	نظری	کارشناسی	4				
22857	ARTIFICIAL INTEL	هوش مصنوعی	نظری	کارشناسی ارشد	3		22827		
22858	DISTRIBUTED AI	هوش مصنوعی توزیع شده	درس پروژه دار	کارشناسی ارشد	4				
22859	LINEAR PROGRAMMING	برنامه نویسی خطی	نظری	کارشناسی	3				
22861	OPERATING SYSTEMS 1	سیستم عامل 1	نظری	کارشناسی	3		22871		
22862	OPERATING SYSTEMS 2	سیستم عامل 2	نظری	مشترک	3		22861		
22864	SOFTWARE ENG	مهندسی نرمافزار	نظری	کارشناسی	3		22861		
22866	SOFTWARE INST & EVAL 	نصب و ارزیابی نرمافزارها	نظری	کارشناسی	3		22861		
22869	MATH PROG 2	برنامه نویسی ریاضی 2	نظری	کارشناسی	3				
22870	SOFTWARE PROJECT	پروژه نرمافزار	پروژه	کارشناسی	3				
22871	COMPUTER ORGAN 1	سازمان کامپیوتر 1	نظری	کارشناسی	4		22811		
22872	COMPUTER ORGAN 2	سازمان کامپیوتر 2	نظری	کارشناسی ارشد	3		22871		
22873	AUTOMATA LANG THEORY	نظریه زبانها و اتوماتا	نظری	کارشناسی	3	22826		ترم پاییز 95-96	دانشگر
22874	THEORY COMPU	نظریه محاسبه	نظری	کارشناسی	3		22873		
22875	MICROPROC & LAB 	ریزپردازنده و آز	نظری	کارشناسی	4		22871		
22876	APPLIED CONTROL 	کنترل کاربردی	نظری	کارشناسی	3		25024		
22877	COMPUTER PERIPHERIALS	دستگاه های جانبی	نظری	کارشناسی	4		22875		
22878	COMPUTER APPL INDUSTRY	کاربرد کامپیوتر در صنعت	نظری	کارشناسی	3		22875		
22879	OP RESEARCH 1	تحقیق در عملیات 1	نظری	کارشناسی	3				
